STNAME,CTYNAME,pop1900,pop1910,pop1920,pop1930,pop1940,pop1950,pop1960,pop1970,pop1980,pop1990,fips,name,STATE_x,COUNTY_x,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,STATE_y,COUNTY_y,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
Alabama,Alabama,1828697,2138093,2348174,2646248,2832961,3061743,3266740,3444165,3893888,4040587,1000.0,AL Alabama,1,0,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,1,0,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185
Alabama,Autauga County,17915,20038,18908,19694,20977,18186,18739,24460,32259,34222,1001.0,AL Autauga County,1,1,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,1,1,54773,55227,54954,54727,54893,54864,55243,55390,55533,55869
Alabama,Baldwin County,13194,18178,20730,28289,32324,40997,49088,59382,78556,98280,1003.0,AL Baldwin County,1,3,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,1,3,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234
Alabama,Barbour County,35152,32728,32067,32425,32722,28892,24700,22543,24756,25417,1005.0,AL Barbour County,1,5,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,1,5,27327,27341,27169,26937,26755,26283,25806,25157,24872,24686
Alabama,Bibb County,18498,22791,23144,20780,20155,17987,14357,13812,15723,16576,1007.0,AL Bibb County,1,7,19913,21028,21199,21399,21721,22042,22099,22438,22705,22941,1,7,22870,22745,22667,22521,22553,22566,22586,22550,22367,22394
Alabama,Blount County,23119,21456,25538,28020,29490,28975,25449,26853,36459,39248,1009.0,AL Blount County,1,9,51107,51845,52551,53457,54124,54624,55485,56240,57055,57341,1,9,57376,57560,57580,57619,57526,57526,57494,57787,57771,57826
Alabama,Bullock County,31944,30196,25333,20016,19810,16054,13462,11824,10596,11042,1011.0,AL Bullock County,1,11,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,1,11,10876,10675,10606,10549,10663,10400,10389,10176,10174,10101
Alabama,Butler County,25761,29030,29531,30195,32447,29228,24560,22007,21680,21892,1013.0,AL Butler County,1,13,21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,1,13,20932,20866,20670,20356,20327,20162,20012,19888,19631,19448
Alabama,Calhoun County,34874,39115,47822,55611,63319,79539,95878,103092,119761,116034,1015.0,AL Calhoun County,1,15,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,1,15,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605
Alabama,Chambers County,32554,36056,41201,39313,42146,39528,37828,36356,39191,36876,1017.0,AL Chambers County,1,17,36571,36274,35965,35680,35463,35279,34945,34847,34563,34384,1,17,34122,34033,34104,34139,33977,33996,33745,33707,33600,33254
Alabama,Cherokee County,21096,20226,20862,20219,19928,17634,16303,15606,18760,19543,1019.0,AL Cherokee County,1,19,24006,24182,24403,24591,24887,25031,25466,25553,25636,25854,1,19,25963,25989,25958,26017,25895,25732,25768,25805,26014,26196
Alabama,Chilton County,16522,23187,22770,24579,27955,26922,25693,25180,30612,32458,1021.0,AL Chilton County,1,21,39897,40197,40683,41079,41534,41946,42318,42881,43239,43484,1,21,43653,43689,43582,43628,43760,43700,43866,44120,44163,44428
Alabama,Choctaw County,18136,18483,20753,20513,20195,19152,17870,16589,16839,16018,1023.0,AL Choctaw County,1,23,15875,15677,15367,15199,14930,14545,14431,14216,14114,13976,1,23,13849,13609,13563,13397,13317,13231,13045,12925,12833,12589
Alabama,Clarke County,27790,30987,26409,26016,27636,26548,25738,26724,27702,27240,1025.0,AL Clarke County,1,25,27819,27624,27267,27090,26958,26764,26755,26436,26283,26038,1,25,25766,25587,25155,25123,24864,24698,24340,24063,23918,23622
Alabama,Clay County,17099,21006,22645,17768,16907,13929,12400,12636,13703,13252,1027.0,AL Clay County,1,27,14263,14298,14257,14203,14121,14077,14053,14085,14161,14006,1,27,13898,13687,13434,13404,13441,13415,13393,13350,13294,13235
Alabama,Cleburne County,13206,13385,13360,12877,13629,11904,10911,10996,12595,12730,1029.0,AL Cleburne County,1,29,14172,14222,14416,14438,14339,14368,14538,14799,14874,14918,1,29,15004,14928,14889,14976,15026,14914,14848,14899,15010,14910
Alabama,Coffee County,20972,26119,30070,32556,31987,30720,30583,34872,38533,40240,1031.0,AL Coffee County,1,31,43580,43716,43930,44315,45053,45604,46228,47458,48516,49440,1,31,50208,50444,51141,50681,50657,50963,51202,51853,51950,52342
Alabama,Colbert County,22341,24802,31997,29860,34093,39561,46506,49632,54519,51666,1033.0,AL Colbert County,1,33,54997,54793,54536,54279,54380,54359,54413,54486,54473,54426,1,33,54524,54539,54570,54529,54462,54417,54497,54695,55004,55241
Alabama,Conecuh County,17514,21433,24593,25429,25489,21776,17762,15645,15884,14054,1035.0,AL Conecuh County,1,35,14035,13940,13793,13585,13430,13421,13603,13441,13388,13274,1,35,13236,13195,13046,12912,12677,12678,12500,12431,12292,12067
Alabama,Coosa County,16144,16634,14839,12460,13460,11766,10726,10662,11377,11063,1037.0,AL Coosa County,1,37,11844,11848,11740,11732,11560,11467,11451,11439,11493,11410,1,37,11780,11486,11346,11254,11037,10934,10819,10724,10643,10663
Alabama,Covington County,15346,32124,38103,41356,42417,40373,35631,34079,36850,36478,1039.0,AL Covington County,1,39,37514,37069,36901,36860,36806,37204,37441,37631,37545,37648,1,39,37809,38020,37805,37814,37760,37556,37382,37062,36953,37049
Alabama,Crenshaw County,19668,23313,23017,23656,23631,18981,14909,13188,14110,13635,1041.0,AL Crenshaw County,1,41,13692,13724,13635,13652,13727,13699,13880,13956,13922,14024,1,41,13869,13894,13915,13847,13851,13850,13916,13858,13825,13772
Alabama,Cullman County,17849,28321,33034,41051,47343,49046,45572,52445,61642,67613,1043.0,AL Cullman County,1,43,77473,77415,77443,77657,78131,78692,79044,79576,80273,80351,1,43,80456,80410,80279,80690,81068,81761,82450,82867,83418,83768
Alabama,Dale County,21189,21608,22711,23175,22685,20828,31066,52938,47821,49633,1045.0,AL Dale County,1,45,49124,49254,49373,49215,49245,49050,49077,49488,49871,49854,1,45,50394,50122,50289,49771,49414,49365,49362,49342,49143,49172
Alabama,Dallas County,54657,53401,54697,55094,55245,56270,56667,55296,53981,48130,1047.0,AL Dallas County,1,47,46198,46132,45377,45170,44795,44434,44323,44194,44265,43759,1,47,43854,43251,42789,41976,41554,40936,40080,39238,38294,37196
Alabama,DeKalb County,23558,28261,34426,40104,43075,45048,41417,41981,53658,54651,1049.0,AL DeKalb County,1,49,64650,65678,65861,66530,67260,67794,68495,69450,70228,70864,1,49,71163,71365,70944,70912,70993,71087,71104,71437,71407,71513
Alabama,Elmore County,26099,28245,28085,34280,34546,31649,30524,33535,43390,49210,1051.0,AL Elmore County,1,51,66160,67459,68659,69935,71018,72978,75246,77124,77698,78632,1,51,79552,79993,80193,80536,80538,80872,81204,81422,81011,81209
Alabama,Escambia County,11320,18889,22464,27963,30671,31443,33511,34906,38440,35518,1053.0,AL Escambia County,1,53,38325,38197,38035,37796,37713,37601,37673,37839,37929,38249,1,53,38345,38204,38023,37765,37735,37661,37475,36993,36524,36633
