STNAME,CTYNAME,pop1900,pop1910,pop1920,pop1930,pop1940,pop1950,pop1960,pop1970,pop1980,pop1990,fips,name,STATE_x,COUNTY_x,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,STATE_y,COUNTY_y,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
Alabama,Alabama,1828697,2138093,2348174,2646248,2832961,3061743,3266740,3444165,3893888,4040587,1000.0,AL Alabama,1,0,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,1,0,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185
Alaska,Alaska,63592,64356,55036,59278,72524,128643,226167,300382,401851,550043,2000.0,AK Alaska,2,0,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,2,0,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545
Arizona,Arizona,122931,204354,334162,435573,499261,749587,1302161,1770900,2718215,3665228,4000.0,AZ Arizona,4,0,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,4,0,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717
Arkansas,Arkansas,1311564,1574449,1752204,1854482,1949387,1909511,1786272,1923295,2286435,2350725,5000.0,AR Arkansas,5,0,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,5,0,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804
California,California,1485053,2377549,3426861,5677251,6907387,10586223,15717204,19953134,23667902,29760021,6000.0,CA California,6,0,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,6,0,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223
Colorado,Colorado,539700,799024,939629,1035791,1123296,1325089,1753947,2207259,2889964,3294394,8000.0,CO Colorado,8,0,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,8,0,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736
Connecticut,Connecticut,908420,1114756,1380631,1606903,1709242,2007280,2535234,3031709,3107576,3287116,9000.0,CT Connecticut,9,0,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,9,0,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287
Delaware,Delaware,184735,202322,223003,238380,266505,318085,446292,548104,594338,666168,10000.0,DE Delaware,10,0,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,10,0,899593,907381,915179,923576,932487,941252,948921,956823,965479,973764
District of Columbia,District of Columbia,278718,331069,437571,486869,663091,802178,763956,756510,638333,606900,11000.0,DC District of Columbia,11,0,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,11,0,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749
Florida,Florida,528542,752619,968470,1468211,1897414,2771305,4951560,6789443,9746324,12937926,12000.0,FL Florida,12,0,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,12,0,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737
