"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, WA","10140",1984,333,141,67,95,30,0,0,200,148,69,0,0,0,333,0,0
"Akron, OH","10420",1984,366,63,160,130,13,0,0,187,130,90,2,0,93,271,0,0
"Albany-Schenectady-Troy, NY","10580",1984,365,215,122,26,1,1,0,204,90,46,13,0,142,210,0,0
"Albuquerque, NM","10740",1984,366,108,205,44,6,3,0,207,118,61,200,6,160,0,0,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",1984,366,120,173,56,12,5,0,260,126,61,30,68,106,162,0,0
"Altoona, PA","11020",1984,363,234,109,18,1,1,0,284,90,42,9,47,167,140,0,0
"Ames, IA","11180",1984,350,298,28,18,6,0,0,190,74,9,0,0,0,350,0,0
"Anchorage, AK","11260",1984,366,205,122,27,4,8,0,213,108,44,346,0,19,1,0,0
"Ann Arbor, MI","11460",1984,159,123,30,6,0,0,0,126,84,35,0,0,159,0,0,0
"Appleton, WI","11540",1984,208,171,29,7,1,0,0,164,71,38,0,0,177,31,0,0
"Asheville, NC","11700",1984,208,183,23,2,0,0,0,136,58,37,0,0,208,0,0,0
"Ashtabula, OH","11780",1984,366,174,141,45,6,0,0,168,107,56,0,0,129,237,0,0
"Atlanta-Sandy Springs-Roswell, GA","12060",1984,366,137,156,54,13,6,0,230,112,61,55,103,123,85,0,0
"Atlantic City-Hammonton, NJ","12100",1984,365,190,126,29,13,7,0,278,119,49,140,0,178,47,0,0
"Augusta-Richmond County, GA-SC","12260",1984,359,254,76,29,0,0,0,150,93,41,0,0,322,37,0,0
"Augusta-Waterville, ME","12300",1984,366,177,144,37,8,0,0,182,102,52,0,0,117,238,0,11
"Austin-Round Rock, TX","12420",1984,358,282,57,14,5,0,0,192,74,35,0,0,345,13,0,0
"Bakersfield, CA","12540",1984,366,106,152,40,56,12,0,217,169,68,5,155,163,43,0,0
"Baltimore-Columbia-Towson, MD","12580",1984,366,34,202,95,22,13,0,225,150,85,113,34,93,123,0,3
"Bangor, ME","12620",1984,366,122,183,54,7,0,0,200,107,62,0,0,0,344,0,22
"Barre, VT","12740",1984,215,185,29,1,0,0,0,106,56,27,0,0,0,179,0,36
"Baton Rouge, LA","12940",1984,366,128,168,55,10,5,0,227,119,64,0,132,97,137,0,0
"Beaumont-Port Arthur, TX","13140",1984,366,90,114,117,40,5,0,224,157,93,0,13,124,229,0,0
"Beaver Dam, WI","13180",1984,162,118,32,11,1,0,0,159,87,42,0,0,162,0,0,0
"Bellingham, WA","13380",1984,363,336,25,2,0,0,0,103,43,14,0,0,0,363,0,0
"Bend-Redmond, OR","13460",1984,58,50,8,0,0,0,0,84,53,27,0,0,0,0,0,58
"Berlin, NH-VT","13620",1984,366,69,150,139,8,0,0,200,130,86,0,0,17,343,0,6
